,Player,Player_url,Duration_2020,Type_2020,Season
0,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,30,"Virus Infection , Ill , Ill ,",2020
1,Zack Steffen,https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,240,"Knee Surgery , Knee Problems , Corona virus ,",2020
2,Aymeric Laporte,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,390,"Ill , Knee Surgery , Strain , Knock ,",2020
3,Nathan Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,52,"Hamstring Injury , Biceps femoris muscle injury ,",2020
4,John Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590,67,"Hip Injury , Hamstring Injury , Hamstring Injury ,",2020
5,Eric García,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,12,"Hamstring Injury ,",2020
6,Nicolás Otamendi,https://www.transfermarkt.com/nicolas-otamendi/profil/spieler/54781,23,"Corona virus , Knock , Knock ,",2020
7,Philippe Sandler,https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460,321,"Unknown Injury , Unknown Injury ,",2020
8,Oleksandr Zinchenko,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,115,"Disrupted Calf Muscle , Unknown Injury , Calf Injury , Knee Problems , Corona virus , Unknown Injury , Fitness ,",2020
9,Benjamin Mendy,https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495,84,"Muscle Injury , Knock , Quarantine , Foot Injury , Knee Injury ,",2020
10,Kyle Walker,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,21,"Fitness ,",2020
11,Rodri,https://www.transfermarkt.com/rodri/profil/spieler/357565,18,"Knock ,",2020
12,Fernandinho,https://www.transfermarkt.com/fernandinho/profil/spieler/26267,9,"Knock ,",2020
13,Ilkay Gündogan,https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,17,"Hamstring Injury , groin strain , Ankle Injury , Corona virus ,",2020
14,Felix Nmecha,https://www.transfermarkt.com/felix-nmecha/profil/spieler/406640,122,"Ankle problems ,",2020
15,Kevin De Bruyne,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,24,"Muscle partial avulsion , Bruised Foot ,",2020
16,Raheem Sterling,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,22,"Hamstring Injury ,",2020
17,Phil Foden,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,10,"Appendectomy ,",2020
18,Gabriel Jesus,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,32,"Knee Injury , Knee Injury ,",2020
19,Sergio Agüero,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399,163,"Heart Condition , Calf Injury , Corona virus ,",2020
20,Alisson,https://www.transfermarkt.com/alisson/profil/spieler/105470,147,"Corona virus , Ill ,",2020
21,Vitezslav Jaros,https://www.transfermarkt.com/vitezslav-jaros/profil/spieler/486604,336,"Elbow Injury , Elbow Injury ,",2020
22,Virgil van Dijk,https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208,3,"Hamstring Injury ,",2020
23,Joe Gomez,https://www.transfermarkt.com/joe-gomez/profil/spieler/256178,2,"Muscle Injury , Patella problems ,",2020
24,Ozan Kabak,https://www.transfermarkt.com/ozan-kabak/profil/spieler/361260,139,"Hamstring Injury , Influenza , Muscle Injury , groin strain , Vertebra injury ,",2020
25,Joel Matip,https://www.transfermarkt.com/joel-matip/profil/spieler/82105,80,"Calf Injury ,",2020
26,Nathaniel Phillips,https://www.transfermarkt.com/nathaniel-phillips/profil/spieler/371814,11,"Cheekbone Fracture , Knock ,",2020
27,Ben Davies,https://www.transfermarkt.com/ben-davies/profil/spieler/257097,61,"Knock , Minor Knock ,",2020
28,Andrew Robertson,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,11,"Knee Injury ,",2020
29,Trent Alexander-Arnold,https://www.transfermarkt.com/trent-alexander-arnold/profil/spieler/314353,7,"Ankle problems ,",2020
30,Neco Williams,https://www.transfermarkt.com/neco-williams/profil/spieler/503680,10,"Facial Fracture , Ankle Injury , Ill ,",2020
31,Fabinho,https://www.transfermarkt.com/fabinho/profil/spieler/225693,51,"Thigh Problems ,",2020
32,Marko Grujic,https://www.transfermarkt.com/marko-grujic/profil/spieler/222813,14,"Muscle Injury ,",2020
33,Naby Keïta,https://www.transfermarkt.com/naby-keita/profil/spieler/302215,112,"Tear in the abductor muscle , Unknown Injury , Knock , Muscle Injury , Hamstring Injury , Knee Problems , Hamstring Injury , Knock ,",2020
34,Georginio Wijnaldum,https://www.transfermarkt.com/georginio-wijnaldum/profil/spieler/49499,22,"Hamstring Injury , Tibia Fracture ,",2020
35,Thiago,https://www.transfermarkt.com/thiago/profil/spieler/60444,56,"Hip Injury , Problems with the hip flexor , Hamstring Injury ,",2020
36,Jordan Henderson,https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651,72,"Hamstring Injury , Ill ,",2020
37,Alex Oxlade-Chamberlain,https://www.transfermarkt.com/alex-oxlade-chamberlain/profil/spieler/143424,50,"Hamstring Injury , Knee Injury , Knock , Ankle Injury , Head Injury , Knock ,",2020
38,James Milner,https://www.transfermarkt.com/james-milner/profil/spieler/3333,59,"Hamstring Injury , Concussion , Hamstring Injury ,",2020
39,Xherdan Shaqiri,https://www.transfermarkt.com/xherdan-shaqiri/profil/spieler/86792,438,"Muscular problems , Hamstring Injury , Calf Injury , Muscle Injury , Calf Injury ,",2020
40,Ben Woodburn,https://www.transfermarkt.com/ben-woodburn/profil/spieler/344015,146,"Ill ,",2020
41,Sadio Mané,https://www.transfermarkt.com/sadio-mane/profil/spieler/200512,57,"Inflamed head of fibula , Knock , Corona virus , Hamstring Injury ,",2020
42,Diogo Jota,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950,49,"Calf Injury , Hamstring Injury ,",2020
43,Takumi Minamino,https://www.transfermarkt.com/takumi-minamino/profil/spieler/165793,36,"Muscular problems , Thigh Problems ,",2020
44,Mohamed Salah,https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455,54,"Corona virus , Ankle Injury , Ankle problems , Concussion ,",2020
45,Harry Wilson,https://www.transfermarkt.com/harry-wilson/profil/spieler/279455,20,"Knee Injury ,",2020
46,Rhian Brewster,https://www.transfermarkt.com/rhian-brewster/profil/spieler/406560,45,"Hamstring Injury ,",2020
47,Divock Origi,https://www.transfermarkt.com/divock-origi/profil/spieler/148368,12,"Adductor problems ,",2020
48,Edouard Mendy,https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531,67,"Shoulder Injury , Knock ,",2020
49,Nathan Baxter,https://www.transfermarkt.com/nathan-baxter/profil/spieler/342050,121,"Shoulder Injury ,",2020
50,Andreas Christensen,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,40,"Muscle Injury , Sprained ankle , Cold , Achilles tendon problems , Corona virus ,",2020
51,Antonio Rüdiger,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,238,"Groin Injury , Groin Injury , Knock , Knee Injury ,",2020
