,Player,Player_url,Duration_2019,Type_2019,Season
43,Davinson Sánchez,https://www.transfermarkt.com/davinson-sanchez/profil/spieler/341429,76,"Quarantine , Ankle Injury ,",2019
44,Eric Dier,https://www.transfermarkt.com/eric-dier/profil/spieler/175722,113,"Thigh Problems , Thigh Problems , Strain , Hip problems , Hip Injury ,",2019
45,Jan Vertonghen,https://www.transfermarkt.com/jan-vertonghen/profil/spieler/43250,120,"Calf Injury , Ill , Calf Injury , Corona virus ,",2019
46,Cameron Carter-Vickers,https://www.transfermarkt.com/cameron-carter-vickers/profil/spieler/341049,29,"Hamstring Injury ,",2019
47,Ben Davies,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,32,"Knee Injury ,",2019
48,Danny Rose,https://www.transfermarkt.com/danny-rose/profil/spieler/50174,98,"Groin Strain , Knee Problems ,",2019
49,Serge Aurier,https://www.transfermarkt.com/serge-aurier/profil/spieler/127032,136,"Calf Injury , Hip problems , Groin Injury , Foot Injury , Knock ,",2019
50,Juan Foyth,https://www.transfermarkt.com/juan-foyth/profil/spieler/480763,79,"Shoulder Injury , Unknown Injury ,",2019
51,Harry Winks,https://www.transfermarkt.com/harry-winks/profil/spieler/249126,81,"Ankle Injury , Knock ,",2019
52,Victor Wanyama,https://www.transfermarkt.com/victor-wanyama/profil/spieler/77760,116,"Knee Injury , Strain , Knee Injury , Knee Injury , Hamstring Injury ,",2019
53,Tanguy Ndombélé,https://www.transfermarkt.com/tanguy-ndombele/profil/spieler/450936,17,"Influenza ,",2019
54,Moussa Sissoko,https://www.transfermarkt.com/moussa-sissoko/profil/spieler/46001,68,"Knee Surgery , Groin Injury , Groin Strain , Knock , Hamstring Injury ,",2019
55,Ryan Sessegnon,https://www.transfermarkt.com/ryan-sessegnon/profil/spieler/392775,12,"Surgery ,",2019
56,Christian Eriksen,https://www.transfermarkt.com/christian-eriksen/profil/spieler/69633,28,"Ankle Injury ,",2019
57,Dele Alli,https://www.transfermarkt.com/dele-alli/profil/spieler/207929,104,"Muscle partial avulsion , Thigh Muscle Strain , tendon irritation , Muscle Injury , Hamstring Injury , Fractured Hand ,",2019
58,Giovani Lo Celso,https://www.transfermarkt.com/giovani-lo-celso/profil/spieler/348795,8,"Torn muscle bundle ,",2019
59,Heung-min Son,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845,8,"Groin Surgery , Facial Fracture ,",2019
60,Steven Bergwijn,https://www.transfermarkt.com/steven-bergwijn/profil/spieler/284165,23,"Knock , Ill , Calf Injury ,",2019
