,Player,Player_url,Duration,Type,Season
0,Zack Steffen,https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,278,"Knee Surgery , Knee Problems , Knee Surgery , Knee Problems ,",2023
1,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,48,"Hamstring Injury , Hamstring Injury ,",2023
2,Josko Gvardiol,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,66,"groin strain , Thigh Problems , groin strain , Thigh Problems ,",2023
3,Nathan Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,32,"Hamstring Injury , Biceps femoris muscle injury ,",2023
4,John Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590,90,"Hamstring Injury , Hamstring Injury , Hamstring Injury ,",2023
5,Sergio Gómez,https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930,33,"Pubis bone contusion ,",2023
6,Kyle Walker,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,98,"Fitness , Groin Injury , Fitness , Groin Injury ,",2023
7,Kalvin Phillips,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,148,"Shoulder Injury , Shoulder Injury ,",2023
8,Matheus Nunes,https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883,16,"Shoulder Injury , Shoulder Injury ,",2023
9,Mateo Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,55,"Knock , Ill , Calf Problems , Rest , Knee Problems ,",2023
10,Kevin De Bruyne,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,110,"Muscle partial avulsion , Bruised Foot , Ill , Muscle partial avulsion , Bruised Foot , Ill ,",2023
11,Phil Foden,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,44,"Appendectomy , Appendectomy ,",2023
12,Jérémy Doku,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049,100,"Hamstring Injury , Dead Leg , Muscle Injury , Hamstring Injury , Dead Leg , Muscle Injury ,",2023
13,Erling Haaland,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,44,"groin strain , Bruised Foot , groin strain , Bruised Foot ,",2023
14,Julián Álvarez,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,2,"Ill ,",2023
15,William Saliba,https://www.transfermarkt.com/william-saliba/profil/spieler/495666,214,"Back Injury , Back Injury ,",2023
16,Jurrien Timber,https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243,9,"Ill , Knock ,",2023
17,Oleksandr Zinchenko,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,306,"Disrupted Calf Muscle , Unknown Injury , Calf Injury , Knee Problems , Disrupted Calf Muscle , Unknown Injury , Calf Injury , Knee Problems ,",2023
18,Takehiro Tomiyasu,https://www.transfermarkt.com/takehiro-tomiyasu/profil/spieler/331560,214,"Knee Surgery , Knee Surgery ,",2023
19,Thomas Partey,https://www.transfermarkt.com/thomas-partey/profil/spieler/230784,58,"Knock , Thigh Problems , Knock , Thigh Problems ,",2023
20,Mohamed Elneny,https://www.transfermarkt.com/mohamed-elneny/profil/spieler/160438,626,"Knee Injury , Thigh Problems , Knee Injury , Thigh Problems ,",2023
21,Kai Havertz,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,20,"Knee Injury , Influenza , Knee Injury , Influenza ,",2023
22,Emile Smith Rowe,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765,126,"Groin Surgery , Groin Surgery ,",2023
23,Gabriel Martinelli,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488,18,"Ankle Injury ,",2023
24,Reiss Nelson,https://www.transfermarkt.com/reiss-nelson/profil/spieler/340325,216,"Thigh Problems , Thigh Problems , Thigh Problems , Thigh Problems ,",2023
25,Gabriel Jesus,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,198,"Knee Injury , Knee Injury ,",2023
26,Eddie Nketiah,https://www.transfermarkt.com/eddie-nketiah/profil/spieler/340324,42,"Ankle Injury ,",2023
27,Robert Sánchez,https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151,16,"Knock ,",2023
28,Marcus Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,302,"Unknown Injury , Unknown Injury ,",2023
29,Wesley Fofana,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411,252,"Knee Injury , Knee Injury , Knee Injury , Knee Injury ,",2023
30,Benoît Badiashile,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,137,"Hamstring Injury , Tear in the abductor muscle , Muscle Injury ,",2023
31,Levi Colwill,https://www.transfermarkt.com/levi-colwill/profil/spieler/614258,72,"Torn muscle bundle , Torn muscle bundle ,",2023
32,Malang Sarr,https://www.transfermarkt.com/malang-sarr/profil/spieler/344596,106,"Muscle Injury , Hip Injury ,",2023
33,Thiago Silva,https://www.transfermarkt.com/thiago-silva/profil/spieler/29241,170,"Ligament Injury , Knee Injury , Ligament Injury , Knee Injury ,",2023
34,Marc Cucurella,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,38,"Muscle Injury ,",2023
35,Ben Chilwell,https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125,234,"Hamstring Injury , Hamstring Injury , Hamstring Injury , Hamstring Injury ,",2023
36,Reece James,https://www.transfermarkt.com/reece-james/profil/spieler/472423,146,"Hamstring Injury , Thigh Problems , Ill , Hamstring Injury , Knee Injury , Knee Injury ,",2023
37,Malo Gusto,https://www.transfermarkt.com/malo-gusto/profil/spieler/620322,107,"Hamstring Injury , Strain in the thigh and gluteal muscles , Strain in the thigh and gluteal muscles , Knock ,",2023
38,Roméo Lavia,https://www.transfermarkt.com/romeo-lavia/profil/spieler/628451,55,"Hamstring Injury ,",2023
39,Carney Chukwuemeka,https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459,44,"Hamstring Injury ,",2023
40,Raheem Sterling,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,82,"Hamstring Injury , Knee Problems , Hamstring Injury , Hamstring Injury , Knee Problems ,",2023
41,Noni Madueke,https://www.transfermarkt.com/noni-madueke/profil/spieler/503987,162,"Ankle Injury , Ankle Injury ,",2023
42,Christopher Nkunku,https://www.transfermarkt.com/christopher-nkunku/profil/spieler/344381,135,"Torn Muscle Fibre , Fitness , Torn knee ligament , Wirst Injury ,",2023
43,Nicolas Jackson,https://www.transfermarkt.com/nicolas-jackson/profil/spieler/776890,112,"Hip problems , Hip problems ,",2023
44,Armando Broja,https://www.transfermarkt.com/armando-broja/profil/spieler/571743,284,"Cruciate Ligament Rupture , Knock ,",2023
45,Altay Bayindir,https://www.transfermarkt.com/altay-bayindir/profil/spieler/336077,160,"Hip problems , Fitness , Hip problems , Knee Injury , Hip problems ,",2023
46,Tom Heaton,https://www.transfermarkt.com/tom-heaton/profil/spieler/34130,120,"Ankle Injury , Ankle Injury ,",2023
47,Lisandro Martínez,https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762,154,"Metatarsal Fracture , Metatarsal Fracture ,",2023
48,Raphaël Varane,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,104,"Foot Injury , Leg Injury , Sprained Ankle , Foot Injury , Leg Injury , Sprained Ankle ,",2023
49,Harry Maguire,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,58,"Hamstring Injury , Hamstring Injury ,",2023
