,Player,Player_url,Duration,Type,Season
47,Emerson Palmieri,https://www.transfermarkt.com/emerson-palmieri/profil/spieler/181778,157.0,"Cruciate Ligament Rupture ,",2018
48,Abdul Rahman Baba,https://www.transfermarkt.com/abdul-rahman-baba/profil/spieler/224884,1304.0,"Fitness , Cruciate Ligament Rupture , Meniscus Damage , Fitness , Cruciate Ligament Rupture , Meniscus Damage ,",2018
49,Todd Kane,https://www.transfermarkt.com/todd-kane/profil/spieler/154287,58.0,"Knee Injury , Knee Injury ,",2018
50,N'Golo Kanté,https://www.transfermarkt.com/ngolo-kante/profil/spieler/225083,36.0,"Circulation Problems , Hamstring Injury ,",2018
51,Tiemoué Bakayoko,https://www.transfermarkt.com/tiemoue-bakayoko/profil/spieler/182618,87.0,"Knee Surgery ,",2018
52,Ethan Ampadu,https://www.transfermarkt.com/ethan-ampadu/profil/spieler/392771,123.0,"Ankle Fracture , Hamstring Injury ,",2018
53,Mateo Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,77.0,"Rupture of the pattella , Muscular problems ,",2018
54,Ross Barkley,https://www.transfermarkt.com/ross-barkley/profil/spieler/131978,190.0,"Hamstring Injury , Hamstring Injury ,",2018
55,Ruben Loftus-Cheek,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,135.0,"Injury to the ankle , Thigh Muscle Strain , groin strain ,",2018
56,Cesc Fàbregas,https://www.transfermarkt.com/cesc-fabregas/profil/spieler/8806,15.0,"Hamstring Injury ,",2018
57,Marco van Ginkel,https://www.transfermarkt.com/marco-van-ginkel/profil/spieler/147034,985.0,"Knee Injury , Knee Problems , Shoulder Injury ,",2018
58,Danny Drinkwater,https://www.transfermarkt.com/danny-drinkwater/profil/spieler/73491,130.0,"Calf Strain , Calf Strain , Thigh Problems ,",2018
59,Victor Moses,https://www.transfermarkt.com/victor-moses/profil/spieler/59866,42.0,"Hamstring Injury ,",2018
60,Lucas Piazón,https://www.transfermarkt.com/lucas-piazon/profil/spieler/176485,130.0,"Fibula Fracture ,",2018
61,Willian,https://www.transfermarkt.com/willian/profil/spieler/52769,9.0,"Achilles tendon problems ,",2018
62,Christian Pulisic,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779,29.0,"Influenza , Knock , Shin bone bruise , Abdominal Influenza , Muscular problems , Calf Problems , Muscular problems ,",2018
63,Pedro,https://www.transfermarkt.com/pedro/profil/spieler/65278,22.0,"Ankle Injury , Facial Fracture ,",2018
64,Álvaro Morata,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223,39.0,"Back Injury , Hamstring Injury ,",2018
65,Gonzalo Higuaín,https://www.transfermarkt.com/gonzalo-higuain/profil/spieler/39153,17.0,"Distortion of the ankle , Surgery ,",2018
66,Michy Batshuayi,https://www.transfermarkt.com/michy-batshuayi/profil/spieler/179184,56.0,"Torn Ankle Ligament , Ankle Injury ,",2018
67,Olivier Giroud,https://www.transfermarkt.com/olivier-giroud/profil/spieler/82442,49.0,"Hamstring Injury , Adductor problems ,",2018
68,Hugo Lloris,https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965,14.0,"Problems with the hip flexor ,",2018
69,Michel Vorm,https://www.transfermarkt.com/michel-vorm/profil/spieler/26276,28.0,"Minor Knock , Minor Knock ,",2018
70,Toby Alderweireld,https://www.transfermarkt.com/toby-alderweireld/profil/spieler/42710,129.0,"Hamstring Injury ,",2018
71,Danny Rose,https://www.transfermarkt.com/danny-rose/profil/spieler/50174,586.0,"Knee Problems , Medial Collateral Ligament Knee Injury , Knee Problems , Medial Collateral Ligament Knee Injury ,",2018
72,Ben Davies,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,14.0,"Ill ,",2018
