,Player,Player_url,Duration_2022,Type_2022,Season
0,Stefan Ortega,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,28,"Corona virus , Corona virus ,",2022
1,Zack Steffen,https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,32,"Corona virus , Corona virus ,",2022
2,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,39,"Knock ,",2022
3,Manuel Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,104,"Minor Knock , Torn Muscle Fibre , Calf Problems , Knee Surgery , Minor Knock , Torn Muscle Fibre ,",2022
4,Kalvin Phillips,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,204,"Hamstring Injury , Hamstring Injury ,",2022
5,Ilkay Gündogan,https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,46,"Hamstring Injury , Hamstring Injury ,",2022
6,Bernardo Silva,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,3,"Muscular problems ,",2022
7,Kevin De Bruyne,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,108,"Corona virus , Ankle Injury , Corona virus , Ankle Injury ,",2022
8,Cole Palmer,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177,186,"Foot Injury , Foot Injury ,",2022
9,Phil Foden,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,39,"Foot Injury ,",2022
10,Ben Knight,https://www.transfermarkt.com/ben-knight/profil/spieler/568007,58,"Knee Problems ,",2022
11,Erling Haaland,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,172,"Ill , Muscular problems , Problems with the hip flexor , Muscular problems , Ill , Muscular problems , Problems with the hip flexor ,",2022
12,Matt Turner,https://www.transfermarkt.com/matt-turner/profil/spieler/425306,83,"Hairline crack in the foot , Foot Injury ,",2022
13,Karl Hein,https://www.transfermarkt.com/karl-hein/profil/spieler/493513,240,"Finger Injury , Finger Injury , Finger Injury ,",2022
14,Gabriel Magalhães,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338,50,"Knee Injury ,",2022
15,Jakub Kiwior,https://www.transfermarkt.com/jakub-kiwior/profil/spieler/425918,44,"Unknown Injury , Unknown Injury ,",2022
16,Rob Holding,https://www.transfermarkt.com/rob-holding/profil/spieler/253341,8,"Fitness ,",2022
17,Oleksandr Zinchenko,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,65,"Corona virus , Unknown Injury , Fitness ,",2022
